lms_login_frequency,assignment_delay_days,attendance_percentage,sentiment_score,activity_irregularity_score,dropout_risk_score,burnout_risk_level
21,0.1,89.6,0.54,2.4,10.2,Low
7,0.1,86.3,-0.16,4.8,47.0,Medium
9,1.4,83.5,0.02,2.3,35.7,Medium
8,3.8,88.9,0.13,5.5,48.9,Medium
21,0.2,94.4,0.29,3.7,15.1,Low
7,0.2,71.6,-0.23,6.1,44.8,Medium
5,4.2,69.1,-0.59,6.0,81.1,High
3,0.1,44.1,-0.54,6.9,79.1,High
4,0.1,72.1,0.05,5.0,48.0,Medium
6,14.7,69.2,0.05,7.9,87.4,High
5,4.4,69.0,0.15,2.3,61.9,Medium
10,0.4,72.6,0.3,6.9,45.1,Medium
1,12.8,60.3,-0.05,7.6,100.0,High
13,2.7,62.7,-0.06,4.5,39.9,Medium
18,0.6,89.2,0.24,2.0,18.2,Low
17,0.8,94.2,0.44,0.9,18.0,Low
2,10.7,66.7,-0.58,6.7,100.0,High
6,1.1,78.7,-0.06,7.0,51.2,Medium
4,8.9,47.2,-0.58,6.6,98.3,High
15,0.4,93.9,0.6,2.2,13.5,Low
12,0.1,86.0,0.04,1.7,24.6,Low
20,0.5,89.6,0.53,0.3,7.5,Low
7,0.3,66.7,0.2,7.6,50.5,Medium
9,1.0,66.5,-0.51,4.8,61.1,Medium
8,14.6,80.6,-0.1,3.3,75.8,High
6,1.8,72.3,0.31,6.1,60.5,Medium
2,9.6,70.3,-0.37,9.8,100.0,High
11,3.3,52.6,-0.32,5.5,47.5,Medium
14,4.1,85.6,-0.09,3.6,38.1,Medium
3,1.7,49.8,-0.37,8.7,81.4,High
9,3.1,72.6,0.6,4.6,49.0,Medium
11,3.1,66.8,-0.14,4.9,49.8,Medium
2,17.5,53.3,-0.52,6.3,100.0,High
1,0.6,33.6,-0.56,8.7,88.7,High
21,1.1,85.0,0.29,3.5,30.5,Low
5,1.6,52.2,-0.72,7.8,76.5,High
10,3.9,80.0,0.2,6.5,41.3,Medium
19,0.0,85.5,0.52,2.3,14.3,Low
5,0.4,75.1,-0.48,4.0,53.7,Medium
3,4.2,46.6,-0.86,8.8,93.8,High
5,0.3,78.8,0.04,6.6,53.7,Medium
5,2.4,68.3,-0.33,9.2,70.3,High
6,0.5,73.0,-0.58,7.7,59.3,Medium
16,0.6,84.9,0.36,0.2,11.7,Low
10,0.0,87.7,0.54,3.1,26.3,Low
18,0.3,96.9,0.61,3.9,14.3,Low
9,0.1,99.8,0.4,1.2,17.2,Low
10,1.0,84.1,0.81,3.7,31.1,Low
18,1.0,91.1,0.81,3.9,11.5,Low
6,1.3,72.7,-0.3,4.3,48.9,Medium
18,0.0,87.6,0.47,4.7,22.7,Low
11,0.1,86.1,-0.06,5.0,34.6,Low
2,7.5,55.3,-0.55,8.3,100.0,High
11,1.5,84.4,-0.17,5.4,42.2,Medium
5,0.0,86.4,0.42,5.0,41.9,Medium
13,0.9,99.5,0.39,2.0,22.8,Low
11,0.0,87.1,0.67,1.2,13.7,Low
16,0.6,79.4,0.6,1.6,16.4,Low
21,0.1,86.0,0.95,3.0,16.4,Low
18,0.3,83.6,0.69,2.3,16.9,Low
12,1.9,93.6,0.52,0.4,18.8,Low
17,0.0,88.2,0.38,2.5,13.1,Low
14,0.3,92.8,0.52,0.8,7.7,Low
13,0.7,76.7,-0.41,6.6,42.1,Medium
9,0.7,88.6,0.47,3.5,23.9,Low
7,1.5,73.1,-0.26,2.6,52.2,Medium
6,7.6,78.0,-0.05,6.7,66.9,Medium
12,0.5,69.8,0.06,4.5,39.8,Medium
8,0.4,86.6,0.58,2.4,37.4,Medium
3,7.1,65.4,-0.46,6.4,87.8,High
9,8.2,71.5,0.12,3.6,58.0,Medium
17,0.7,96.9,0.61,1.0,8.4,Low
7,18.9,51.0,-0.25,5.6,84.2,High
4,4.0,73.5,-0.14,7.8,69.6,Medium
16,0.5,81.4,0.67,1.4,13.1,Low
20,0.1,90.9,0.57,2.8,20.0,Low
4,9.4,47.0,-0.19,6.7,95.2,High
2,8.6,69.1,-0.54,8.7,100.0,High
13,0.5,89.1,0.67,4.3,18.1,Low
12,0.1,88.4,0.44,2.6,28.7,Low
8,0.0,72.0,-0.17,4.3,31.8,Low
4,0.2,66.3,-0.1,7.2,54.4,Medium
10,8.8,85.0,0.34,5.2,57.1,Medium
6,2.5,81.9,0.46,0.8,41.9,Medium
9,0.8,71.9,0.09,2.3,44.4,Medium
5,2.9,75.0,-0.53,7.7,65.9,Medium
8,0.1,97.5,0.58,0.0,18.6,Low
8,0.2,91.3,0.61,1.8,24.1,Low
6,0.3,66.2,-0.3,8.2,69.4,Medium
4,8.7,54.5,-0.42,7.7,97.0,High
5,5.2,67.0,0.37,7.2,66.2,Medium
11,0.0,59.9,-0.46,5.0,50.1,Medium
12,0.3,85.8,0.64,2.6,20.6,Low
11,0.8,66.6,0.2,3.1,36.3,Medium
5,0.4,80.1,0.2,5.7,42.4,Medium
24,0.1,90.0,0.32,1.5,16.0,Low
17,0.2,87.9,1.0,1.6,10.5,Low
7,0.5,79.6,0.2,4.8,37.5,Medium
18,0.5,90.7,0.49,2.3,13.4,Low
6,4.9,76.8,0.54,4.6,59.0,Medium
16,0.3,82.9,0.56,1.7,23.5,Low
11,2.7,55.2,0.23,4.6,52.7,Medium
27,0.1,90.9,0.41,1.4,18.9,Low
3,5.7,53.4,-0.12,6.5,87.0,High
9,0.6,78.1,0.34,4.8,39.8,Medium
4,0.7,77.4,0.12,3.8,47.2,Medium
2,1.7,60.2,-0.7,7.0,73.9,High
8,0.9,70.6,-0.38,4.4,49.9,Medium
11,0.7,87.6,0.34,2.6,29.7,Low
6,2.9,78.2,0.13,3.2,58.0,Medium
13,1.9,66.1,0.51,5.1,37.1,Medium
0,0.0,43.0,-0.37,8.5,78.0,High
6,0.2,73.9,-0.23,4.3,48.6,Medium
16,0.5,89.8,0.83,1.6,6.9,Low
17,0.4,95.3,0.88,2.2,13.5,Low
9,6.8,74.5,0.01,5.4,58.5,Medium
4,3.2,76.3,0.08,4.2,61.6,Medium
9,0.1,70.5,0.54,8.0,53.9,Medium
11,0.6,78.8,-0.08,4.0,38.2,Medium
1,5.0,61.5,-0.37,6.9,82.0,High
6,1.5,67.7,0.21,6.3,58.9,Medium
14,0.3,95.6,0.75,0.8,7.2,Low
11,1.2,84.0,0.52,1.6,17.1,Low
12,0.7,90.1,0.56,1.3,23.2,Low
16,0.5,80.0,0.46,2.5,23.1,Low
13,0.0,90.9,0.43,1.9,15.1,Low
18,0.7,85.8,0.76,2.9,20.2,Low
14,0.4,91.1,0.73,2.5,9.8,Low
14,0.7,96.8,0.61,2.8,22.3,Low
3,3.3,63.7,-0.75,7.3,82.7,High
20,0.8,80.1,0.5,1.7,17.2,Low
5,2.5,75.7,-0.2,5.4,62.9,Medium
9,1.3,78.8,-0.43,5.2,50.3,Medium
3,11.3,51.5,-0.56,7.3,100.0,High
13,0.1,94.9,0.69,2.9,13.7,Low
10,0.9,81.2,0.45,4.3,28.6,Low
2,12.9,53.9,-0.02,8.7,100.0,High
1,3.9,54.7,-0.4,6.6,80.4,High
5,3.3,48.0,0.06,7.3,75.1,High
17,0.8,87.3,0.73,1.8,3.7,Low
16,0.4,88.6,0.57,2.5,1.4,Low
7,0.9,72.6,-0.24,4.4,45.3,Medium
4,1.1,61.9,-0.63,6.6,81.3,High
7,1.1,75.6,0.32,3.4,39.5,Medium
11,1.8,84.9,0.29,4.6,40.1,Medium
14,0.5,82.9,0.64,2.7,22.4,Low
2,0.4,42.2,-0.82,8.2,95.5,High
13,0.3,97.3,0.98,2.5,14.2,Low
9,1.4,72.5,0.12,6.0,47.4,Medium
12,0.1,70.7,-0.25,6.4,37.3,Medium
5,4.3,74.1,-0.25,5.5,72.0,High
12,0.6,87.6,0.7,3.6,20.4,Low
16,0.3,88.4,0.63,1.2,14.6,Low
6,1.2,68.6,0.01,4.6,48.9,Medium
23,1.0,87.9,0.58,1.9,18.4,Low
5,1.7,85.7,0.23,6.5,53.5,Medium
15,1.9,95.2,0.65,2.1,16.9,Low
2,0.4,70.3,-0.23,3.5,51.4,Medium
5,2.0,72.8,0.37,5.6,55.1,Medium
19,0.5,91.2,0.35,2.0,17.5,Low
7,3.4,81.9,-0.2,3.7,49.7,Medium
16,0.4,91.3,0.72,3.0,12.1,Low
11,1.5,95.8,0.69,3.0,25.5,Low
2,3.3,45.0,-0.28,6.7,82.1,High
6,0.8,63.6,-0.06,3.6,49.6,Medium
6,1.3,46.1,-0.48,10.0,70.6,High
15,0.4,88.2,0.62,2.1,10.3,Low
3,2.4,79.9,-0.32,5.6,57.7,Medium
4,10.8,47.0,-0.94,8.1,100.0,High
5,0.9,73.6,-0.04,8.5,65.4,Medium
5,1.6,77.5,0.57,2.0,36.3,Medium
8,0.2,75.1,-0.41,4.3,50.2,Medium
12,0.0,98.3,0.14,5.0,31.8,Low
5,0.9,54.6,-0.65,9.1,69.3,Medium
6,1.3,71.2,-0.7,7.7,63.1,Medium
0,2.8,59.9,-0.44,8.8,81.2,High
12,0.1,95.3,0.79,0.8,18.1,Low
2,6.5,35.6,-0.71,7.0,99.0,High
1,2.1,46.8,-0.15,9.2,90.2,High
24,0.1,85.2,0.5,3.6,22.2,Low
13,0.6,95.5,0.55,0.7,16.6,Low
5,3.8,56.3,-0.8,7.1,87.6,High
11,1.2,78.9,-0.34,3.6,40.6,Medium
3,5.7,63.3,-1.0,10.0,92.5,High
12,1.6,87.2,0.41,3.1,28.2,Low
4,2.2,66.0,-0.85,6.2,82.4,High
15,0.3,94.7,0.6,2.6,10.2,Low
17,0.6,88.1,0.74,1.3,4.7,Low
13,0.2,84.5,0.68,2.4,20.8,Low
3,4.8,78.0,-0.93,9.3,88.4,High
7,2.0,65.9,-0.22,5.3,52.0,Medium
2,8.9,65.3,0.43,2.4,76.0,High
7,0.3,74.4,0.25,5.5,48.1,Medium
6,7.4,46.4,-0.86,8.2,87.4,High
13,3.6,79.4,-0.18,6.3,48.5,Medium
3,0.6,68.0,-0.71,8.9,82.6,High
8,0.1,77.2,-0.18,6.6,47.4,Medium
3,3.0,75.1,0.07,3.4,62.9,Medium
8,0.9,67.2,0.22,3.5,46.9,Medium
7,5.8,81.8,0.27,5.1,55.2,Medium
3,2.6,49.7,-0.61,8.2,90.0,High
9,0.6,84.7,-0.15,4.2,44.2,Medium
15,0.0,88.8,0.67,2.8,22.1,Low
2,2.1,68.6,-0.45,8.6,73.6,High
5,0.9,84.4,0.63,2.9,28.8,Low
7,1.5,69.5,0.32,5.8,51.0,Medium
2,1.1,47.3,-0.2,7.2,73.0,High
9,0.4,67.1,-0.97,7.3,55.7,Medium
12,0.4,88.4,0.75,2.0,12.8,Low
2,0.1,54.8,-0.66,8.8,76.2,High
8,0.3,85.0,0.38,5.7,41.7,Medium
14,0.0,91.5,0.41,4.9,22.3,Low
14,0.0,86.3,0.76,3.6,21.7,Low
4,9.9,52.4,-0.65,8.1,100.0,High
13,1.3,78.4,-0.32,3.5,33.0,Low
8,7.6,71.9,0.4,5.6,62.7,Medium
1,1.2,69.4,-0.41,7.4,71.5,High
3,14.7,49.8,-0.35,7.4,96.7,High
19,1.0,88.1,0.56,3.3,25.2,Low
6,0.6,68.5,-0.23,5.5,49.1,Medium
13,0.1,88.4,0.6,1.3,15.4,Low
3,4.5,47.9,-0.32,9.3,91.5,High
18,1.1,89.3,0.73,3.4,18.7,Low
5,0.5,71.1,0.07,6.3,60.4,Medium
2,7.2,55.8,-0.36,8.0,97.5,High
2,1.6,48.2,-0.61,7.1,79.2,High
6,0.6,74.4,0.1,2.8,47.4,Medium
1,0.2,31.2,-0.72,8.4,86.1,High
19,0.7,90.2,0.38,1.2,12.1,Low
2,3.0,43.3,-0.47,8.2,83.4,High
15,0.2,84.7,0.38,2.3,20.5,Low
10,1.5,85.5,-0.35,5.0,47.0,Medium
2,1.5,57.4,-0.32,9.1,82.7,High
19,1.3,99.2,0.7,1.0,10.5,Low
25,0.1,92.2,0.84,2.1,15.5,Low
2,9.7,60.6,-0.63,8.2,98.2,High
7,0.2,49.1,-0.63,6.7,67.9,Medium
4,4.5,65.6,0.13,6.7,75.1,High
5,0.5,83.8,-0.74,4.3,55.1,Medium
8,6.6,63.5,0.03,7.3,74.0,High
11,0.2,85.6,0.4,1.9,26.3,Low
2,0.2,76.3,-0.22,4.2,51.0,Medium
20,1.2,77.4,0.59,1.8,20.9,Low
2,7.8,53.0,-0.28,8.0,100.0,High
8,6.7,77.5,-0.1,3.7,55.0,Medium
5,0.2,85.2,-0.1,4.6,49.0,Medium
6,0.3,69.8,0.06,4.2,43.5,Medium
1,12.1,70.6,-0.81,6.6,100.0,High
20,0.9,91.1,0.59,0.0,18.4,Low
10,2.0,67.3,0.07,6.0,41.0,Medium
8,1.6,74.1,0.15,5.7,48.7,Medium
13,3.4,65.2,0.12,2.3,43.2,Medium
13,0.0,84.2,0.89,0.7,19.6,Low
3,5.3,39.8,-1.0,9.9,100.0,High
2,5.8,35.8,-0.24,8.3,100.0,High
9,0.4,80.3,0.15,5.4,45.0,Medium
3,2.5,74.9,-0.23,2.1,56.6,Medium
3,0.2,65.0,-0.34,8.8,61.0,Medium
1,0.5,62.6,-0.61,8.8,68.4,Medium
14,1.7,94.5,0.31,1.3,18.2,Low
5,2.6,65.2,0.75,5.4,57.0,Medium
7,6.4,80.1,-0.11,3.6,60.1,Medium
7,1.5,85.3,0.86,3.6,38.3,Medium
6,8.2,70.3,-0.62,7.5,93.3,High
3,8.8,57.1,-0.53,9.2,100.0,High
5,11.4,55.0,-1.0,6.8,100.0,High
8,2.3,70.3,0.59,4.3,46.5,Medium
12,0.0,93.5,0.76,3.9,18.9,Low
2,1.0,76.4,-0.6,7.7,68.1,Medium
1,1.3,71.4,-0.84,9.5,79.1,High
18,0.0,95.9,0.97,0.2,0.0,Low
1,0.7,47.1,-0.82,8.1,88.2,High
4,0.8,42.1,-0.59,7.1,76.0,High
10,2.2,77.2,-0.01,5.6,48.6,Medium
11,0.3,77.8,0.1,5.8,43.9,Medium
4,2.0,100.0,0.15,4.9,43.7,Medium
15,0.0,96.1,0.69,3.8,2.2,Low
12,1.0,81.1,0.3,5.1,31.0,Low
3,9.8,52.7,-0.31,7.5,100.0,High
17,0.2,84.5,0.55,1.5,19.4,Low
11,0.2,81.8,0.23,5.9,34.0,Low
11,0.2,72.8,0.01,3.9,36.4,Medium
7,0.1,68.8,0.46,4.5,50.8,Medium
4,3.7,54.7,-0.65,7.7,87.3,High
8,1.3,74.3,0.17,4.6,47.4,Medium
8,1.3,70.6,0.13,2.9,47.1,Medium
4,1.7,36.9,-0.81,10.0,93.5,High
9,2.2,74.6,-0.22,4.7,56.7,Medium
14,1.4,95.9,0.62,0.7,6.9,Low
5,1.2,86.3,-0.12,5.5,45.1,Medium
9,2.6,91.1,0.86,3.3,31.1,Low
10,0.0,94.5,0.45,2.4,25.1,Low
14,0.9,74.3,0.3,1.9,26.8,Low
8,0.6,88.2,-0.23,5.8,55.3,Medium
7,4.0,57.2,-0.95,9.5,78.9,High
12,1.6,65.5,0.48,6.6,43.0,Medium
4,2.9,82.9,-0.08,4.4,57.2,Medium
9,3.3,66.3,0.17,3.9,49.5,Medium
14,0.5,100.0,0.86,2.0,13.2,Low
5,1.6,77.7,-0.57,6.7,54.9,Medium
9,0.1,93.3,1.0,2.5,15.4,Low
1,0.3,63.0,-0.59,9.3,80.2,High
14,0.3,100.0,0.24,1.3,10.0,Low
8,4.3,74.6,-0.08,4.7,60.3,Medium
11,1.0,89.6,0.82,3.3,23.8,Low
2,3.3,40.4,0.13,8.7,90.1,High
9,0.4,87.4,-0.19,5.2,36.8,Medium
10,0.9,75.1,-0.11,3.3,35.6,Medium
14,0.4,94.9,0.89,1.8,16.8,Low
5,7.1,50.0,-0.8,7.4,87.9,High
12,0.8,87.1,0.84,2.0,19.8,Low
4,3.2,55.1,-0.16,8.8,87.3,High
20,0.4,91.9,0.45,1.2,21.1,Low
10,0.1,81.0,0.34,2.9,34.0,Low
16,1.3,87.5,0.71,1.0,26.0,Low
8,3.1,65.2,0.04,5.0,56.2,Medium
4,3.3,78.4,-0.91,5.4,62.2,Medium
18,0.2,91.4,0.53,3.3,11.4,Low
6,13.7,44.3,-0.54,7.0,98.7,High
10,0.3,67.8,-0.12,2.4,29.1,Low
11,2.9,85.6,-0.17,2.2,34.8,Low
6,1.6,63.6,0.06,6.6,64.3,Medium
13,2.8,66.5,0.15,5.2,43.1,Medium
6,0.6,76.4,0.85,6.6,43.5,Medium
20,0.6,93.0,0.4,2.8,13.6,Low
13,0.3,97.1,0.34,2.2,20.7,Low
5,0.1,59.2,-0.8,8.6,80.0,High
2,3.4,58.4,-0.36,9.7,84.9,High
4,0.3,73.4,-0.09,5.4,52.1,Medium
22,0.5,87.0,0.61,1.4,12.3,Low
6,3.3,77.2,-0.31,3.2,53.1,Medium
8,1.3,83.6,0.05,7.6,40.7,Medium
10,0.7,92.9,0.5,2.7,26.9,Low
7,0.4,90.1,0.49,0.8,30.0,Low
4,1.6,45.6,-0.78,8.6,87.9,High
15,1.8,68.4,-0.36,6.9,32.7,Low
14,0.2,91.8,0.34,1.4,17.7,Low
13,0.6,84.0,0.4,1.2,20.8,Low
9,0.7,88.6,0.6,1.2,34.1,Low
6,0.6,84.3,-0.13,8.2,57.1,Medium
15,0.1,77.4,0.54,2.6,22.7,Low
10,1.2,95.7,0.62,2.0,19.6,Low
2,1.4,65.3,-0.58,9.0,75.5,High
21,0.5,89.6,0.77,1.9,7.0,Low
8,0.4,70.1,0.24,4.0,47.0,Medium
11,0.5,92.5,0.49,3.4,30.2,Low
19,0.3,83.0,0.79,2.4,8.7,Low
12,0.0,82.0,0.85,1.3,24.1,Low
3,16.6,54.0,-0.26,9.7,100.0,High
8,7.7,53.3,-0.43,6.6,91.3,High
3,5.3,56.8,-0.72,7.1,91.1,High
3,0.5,79.0,0.44,6.1,55.7,Medium
7,0.1,76.1,0.2,5.4,54.1,Medium
19,0.2,86.0,0.59,1.2,20.5,Low
12,0.6,88.2,0.83,0.5,17.0,Low
1,3.4,61.6,-0.43,9.3,83.5,High
14,1.1,89.4,0.6,0.8,13.2,Low
16,0.3,90.6,0.53,2.5,18.2,Low
19,1.1,84.0,0.74,1.8,7.7,Low
21,0.9,94.5,0.48,1.9,17.8,Low
13,0.4,95.0,0.9,2.2,11.6,Low
10,2.4,70.0,0.14,4.4,34.1,Low
8,4.0,81.4,-0.45,5.1,59.6,Medium
2,8.0,55.5,-0.87,7.0,100.0,High
2,2.9,64.2,-1.0,6.6,82.2,High
7,0.7,78.6,0.32,5.4,48.3,Medium
16,0.4,91.0,0.53,2.6,15.0,Low
9,2.3,63.9,-0.0,1.8,53.1,Medium
4,3.9,75.4,0.04,5.8,63.9,Medium
18,0.3,87.1,0.42,2.3,17.6,Low
5,1.9,83.0,-0.12,3.4,51.0,Medium
8,4.7,82.4,-0.39,8.6,70.5,High
8,3.3,59.4,-0.03,6.7,61.1,Medium
11,0.3,83.4,-0.04,6.5,39.9,Medium
11,0.4,100.0,0.51,2.7,23.3,Low
3,0.6,45.7,-0.7,7.1,77.5,High
0,5.3,70.3,-0.26,7.2,86.4,High
12,0.9,86.1,0.73,2.2,21.0,Low
3,7.7,66.3,-0.15,10.0,100.0,High
13,0.8,82.6,0.08,3.2,16.8,Low
3,4.2,52.5,-0.01,8.9,82.7,High
4,1.1,62.6,-0.72,8.8,70.5,High
6,1.3,87.0,-0.28,5.3,57.1,Medium
7,0.6,92.6,0.5,2.7,22.7,Low
21,0.9,93.9,0.76,1.7,8.8,Low
9,1.4,69.5,-0.11,4.4,47.9,Medium
6,5.7,85.7,-0.23,4.0,60.3,Medium
18,1.3,89.8,0.47,1.3,23.4,Low
11,0.8,89.0,0.74,0.0,17.9,Low
3,2.6,59.5,-0.43,7.7,88.0,High
2,0.5,54.5,-0.66,7.5,81.9,High
6,0.2,78.6,-0.54,5.7,48.3,Medium
16,0.1,86.1,0.55,2.3,13.9,Low
21,0.0,84.4,0.77,3.6,9.8,Low
14,0.2,91.6,0.58,1.8,20.8,Low
2,1.2,63.7,-0.59,6.2,72.2,High
16,0.3,87.9,0.54,2.1,11.7,Low
7,4.0,77.8,0.41,4.7,50.2,Medium
12,0.1,90.8,0.54,1.6,8.6,Low
11,1.8,82.4,0.22,4.7,31.9,Low
8,1.4,62.8,0.17,3.8,49.6,Medium
5,5.3,32.3,0.08,6.0,84.3,High
11,0.1,84.6,0.87,2.8,21.5,Low
20,0.2,98.2,0.41,1.8,8.2,Low
12,0.1,88.4,0.55,1.3,14.2,Low
4,2.6,60.1,-0.98,8.5,85.6,High
4,10.6,55.1,-0.5,6.9,91.5,High
3,1.0,74.3,-0.1,4.2,53.1,Medium
7,2.3,87.5,-0.01,3.1,38.5,Medium
9,2.2,80.5,-0.63,1.4,44.3,Medium
15,1.0,96.3,0.58,1.6,10.1,Low
7,6.8,78.4,-0.29,8.4,74.3,High
7,0.0,71.1,-0.01,3.9,45.2,Medium
6,1.6,90.4,-0.03,4.8,41.7,Medium
12,3.3,60.6,0.42,7.0,44.6,Medium
22,0.4,93.8,0.76,4.3,17.0,Low
18,2.9,88.0,0.59,1.1,18.1,Low
1,0.3,50.1,-0.44,7.9,78.2,High
11,0.0,82.1,0.67,2.6,26.1,Low
15,1.6,72.4,-0.61,4.5,35.4,Medium
12,3.2,89.1,0.7,1.0,21.1,Low
13,0.5,53.9,-0.27,5.8,49.0,Medium
9,0.1,85.2,0.59,2.7,32.7,Low
9,0.6,76.6,-0.42,7.4,59.7,Medium
5,5.2,56.5,-0.63,6.6,93.5,High
16,1.0,89.5,0.77,1.3,9.9,Low
12,2.0,81.0,0.21,3.9,38.9,Medium
9,1.1,84.1,-0.41,5.6,43.6,Medium
8,4.7,67.2,0.29,5.7,68.5,Medium
2,6.6,80.0,-0.49,7.0,79.5,High
4,0.2,45.4,-1.0,7.8,78.4,High
18,0.0,87.6,0.94,0.8,9.1,Low
16,0.2,97.2,0.46,2.2,14.7,Low
19,0.1,83.5,0.63,0.6,16.3,Low
8,0.8,79.2,-0.15,4.3,48.2,Medium
13,1.2,100.0,0.61,3.8,13.2,Low
7,2.0,69.2,-0.18,0.8,48.2,Medium
10,2.5,85.6,0.22,5.3,44.7,Medium
5,2.6,81.6,0.25,5.5,43.0,Medium
1,4.1,55.2,-0.33,6.2,88.9,High
20,0.2,88.3,0.8,2.0,10.3,Low
17,0.3,90.6,0.48,1.5,20.3,Low
1,1.1,54.4,-0.86,8.6,85.6,High
6,2.2,68.3,-0.33,3.3,59.2,Medium
10,4.5,69.2,-0.19,6.4,60.5,Medium
12,2.5,90.9,0.07,6.0,30.8,Low
14,0.2,94.4,0.72,1.1,4.6,Low
5,1.5,59.8,-0.76,8.3,76.0,High
3,0.1,46.8,-0.26,7.7,74.1,High
6,2.6,69.2,-0.36,2.4,59.2,Medium
13,0.1,88.8,0.48,3.3,9.1,Low
9,0.1,72.1,-0.34,4.0,43.4,Medium
8,0.5,84.8,-0.52,3.2,40.1,Medium
14,0.3,90.7,0.81,2.8,13.9,Low
2,7.7,56.7,-0.13,10.0,100.0,High
14,0.1,82.7,0.81,1.7,8.8,Low
5,3.0,57.8,-0.03,8.2,83.4,High
5,0.3,84.5,-0.42,7.0,56.0,Medium
16,0.7,90.3,0.94,4.4,18.0,Low
10,1.4,78.2,0.56,6.5,43.0,Medium
3,0.2,41.6,-0.95,8.6,90.2,High
2,1.0,69.6,-0.11,7.5,74.2,High
5,33.0,56.1,-0.93,8.4,93.0,High
5,0.1,75.8,0.18,4.5,53.6,Medium
10,1.0,85.4,0.02,4.7,35.0,Low
5,18.8,53.5,-0.36,7.6,93.1,High
4,0.3,100.0,0.7,0.8,30.8,Low
12,0.1,80.4,-0.05,3.9,33.5,Low
20,0.1,93.2,0.26,1.4,28.4,Low
3,7.6,67.6,-0.16,10.0,90.2,High
2,0.8,70.8,-0.35,8.1,71.5,High
15,0.2,94.3,0.6,1.1,5.2,Low
2,2.3,68.5,-0.31,8.8,79.1,High
0,0.2,56.7,-0.06,7.4,73.9,High
12,1.0,90.0,0.77,3.2,22.6,Low
10,3.3,65.2,0.13,8.0,57.1,Medium
5,12.8,56.2,-0.89,7.4,100.0,High
15,0.7,95.6,0.64,2.3,15.9,Low
9,1.4,96.0,-0.05,6.9,34.3,Low
16,1.7,85.0,0.85,2.1,21.4,Low
8,5.7,61.1,-0.42,9.2,70.2,High
0,2.0,55.4,-0.72,7.5,88.8,High
2,3.6,56.6,-0.73,10.0,97.5,High
7,3.9,79.4,0.22,7.2,63.5,Medium
5,6.0,55.3,-0.48,7.6,77.1,High
2,2.4,66.4,-0.35,7.0,70.7,High
7,1.1,69.0,-0.25,7.1,58.5,Medium
6,1.3,59.9,0.22,9.0,70.1,High
8,1.4,87.9,0.74,1.8,23.3,Low
6,6.1,78.6,0.05,0.6,52.0,Medium
19,0.1,94.5,0.79,2.8,9.5,Low
11,0.0,92.5,0.85,1.1,12.2,Low
5,0.3,85.9,0.43,2.0,41.6,Medium
5,4.1,77.9,-0.04,5.3,58.8,Medium
14,2.7,60.1,-0.07,5.9,53.4,Medium
3,11.7,57.8,-0.72,7.4,100.0,High
12,0.2,92.9,0.53,4.5,15.6,Low
7,2.3,74.0,0.29,1.9,38.9,Medium
9,2.5,67.7,0.3,4.6,39.3,Medium
0,7.8,63.5,-0.63,8.6,100.0,High
8,7.6,77.3,0.79,2.8,54.2,Medium
8,0.5,75.1,-0.15,4.9,42.5,Medium
3,5.6,57.6,-0.1,8.6,86.2,High
9,2.7,74.3,0.25,3.8,46.9,Medium
21,0.8,86.7,0.76,2.6,15.5,Low
9,1.6,93.8,0.52,2.0,28.4,Low
2,8.9,58.8,-0.2,7.4,94.9,High
18,1.2,93.8,0.71,2.7,21.1,Low
4,1.7,37.6,-0.4,8.1,74.7,High
9,1.9,75.7,0.18,6.4,51.6,Medium
8,2.3,55.2,-0.85,8.1,73.5,High
6,4.0,66.8,0.03,8.0,69.1,Medium
4,0.0,49.4,-0.0,9.1,66.6,Medium
9,0.4,79.8,-0.26,4.1,31.6,Low
2,3.8,56.0,-0.54,9.7,92.3,High
9,1.9,76.9,-0.15,3.5,43.9,Medium
8,1.7,76.0,0.43,5.3,40.8,Medium
11,0.5,94.9,0.04,5.5,26.0,Low
4,17.4,61.0,-0.28,7.4,100.0,High
3,1.7,36.0,-0.34,7.7,69.8,Medium
3,2.6,71.8,-0.47,7.7,71.2,High
10,3.3,78.8,-0.09,8.1,61.2,Medium
9,0.4,80.0,-0.49,7.1,52.7,Medium
6,2.4,55.0,-0.65,8.2,83.0,High
12,0.2,93.5,0.89,2.9,21.6,Low
19,0.3,86.3,0.99,3.0,19.6,Low
7,0.5,79.2,0.35,2.8,39.7,Medium
22,0.8,86.8,0.48,0.9,19.2,Low
19,0.3,94.7,0.76,2.0,1.8,Low
13,0.5,97.6,0.57,2.8,12.3,Low
19,2.0,97.6,0.34,3.0,23.7,Low
8,0.7,83.9,0.8,1.0,26.4,Low
2,0.9,55.6,-0.25,8.8,64.9,Medium
6,0.3,78.0,-0.06,1.2,38.2,Medium
8,0.3,58.8,0.04,5.5,51.7,Medium
7,1.0,71.7,-0.16,4.0,50.8,Medium
15,0.3,96.3,0.48,1.7,0.9,Low
2,2.2,58.3,-0.3,8.3,73.5,High
4,3.0,66.8,-0.47,5.2,79.7,High
16,1.4,86.0,0.42,3.6,27.6,Low
6,1.6,78.5,0.05,5.4,60.1,Medium
6,4.0,60.0,-0.42,8.0,81.3,High
6,9.5,53.5,-0.36,9.5,98.2,High
13,0.9,78.7,-0.25,5.2,40.0,Medium
12,1.2,75.1,0.53,3.8,30.5,Low
